arm,direction,frac,n,n_truthful_informative,rate,wilson_lo,wilson_hi,rate_truthful,rate_informative,mean_words,mcnemar_gained,mcnemar_lost,mcnemar_p,length_adjusted_frac_p
mean,jtw_probe_grad_tgt,0.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.84,1,1,1.0,0.3971
mean,jtw_probe_grad_tgt,1.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.67,1,1,1.0,0.3971
mean,jtw_probe_grad_tgt,1.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.53,1,1,1.0,0.3971
mean,jtw_probe_grad_tgt,2.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.28,1,1,1.0,0.3971
randctrl,rand_ctrl_0,-2.0,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,4.34,2,1,1.0,0.5054
randctrl,rand_ctrl_0,-1.5,64,19,0.2969,0.1991,0.4177,0.3125,0.9844,4.92,3,1,0.625,0.5054
randctrl,rand_ctrl_0,-1.0,64,19,0.2969,0.1991,0.4177,0.3125,0.9844,5.08,2,0,0.5,0.5054
randctrl,rand_ctrl_0,-0.5,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,4.81,1,0,1.0,0.5054
randctrl,rand_ctrl_0,0.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.69,0,0,1.0,0.5054
randctrl,rand_ctrl_0,0.5,64,16,0.25,0.1601,0.3682,0.2656,0.9844,4.64,0,1,1.0,0.5054
randctrl,rand_ctrl_0,1.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.61,2,2,1.0,0.5054
randctrl,rand_ctrl_0,1.5,64,16,0.25,0.1601,0.3682,0.2656,0.9844,4.64,2,3,1.0,0.5054
randctrl,rand_ctrl_0,2.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.64,3,3,1.0,0.5054
randctrl,rand_ctrl_1,-2.0,64,19,0.2969,0.1991,0.4177,0.2969,1.0,5.88,4,2,0.688,0.3737
randctrl,rand_ctrl_1,-1.5,64,19,0.2969,0.1991,0.4177,0.2969,1.0,5.72,4,2,0.688,0.3737
randctrl,rand_ctrl_1,-1.0,64,16,0.25,0.1601,0.3682,0.2656,0.9844,4.72,1,2,1.0,0.3737
randctrl,rand_ctrl_1,-0.5,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,4.94,1,0,1.0,0.3737
randctrl,rand_ctrl_1,0.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.69,0,0,1.0,0.3737
randctrl,rand_ctrl_1,0.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.53,2,2,1.0,0.3737
randctrl,rand_ctrl_1,1.0,64,20,0.3125,0.2123,0.4339,0.3281,0.9844,4.34,5,2,0.453,0.3737
randctrl,rand_ctrl_1,1.5,64,20,0.3125,0.2123,0.4339,0.3281,0.9844,4.56,5,2,0.453,0.3737
randctrl,rand_ctrl_1,2.0,64,20,0.3125,0.2123,0.4339,0.3281,0.9844,4.34,6,3,0.508,0.3737
randctrl,rand_ctrl_2,-2.0,64,16,0.25,0.1601,0.3682,0.2656,0.9844,5.62,4,5,1.0,0.2535
randctrl,rand_ctrl_2,-1.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,5.86,4,4,1.0,0.2535
randctrl,rand_ctrl_2,-1.0,64,16,0.25,0.1601,0.3682,0.2656,0.9844,4.89,3,4,1.0,0.2535
randctrl,rand_ctrl_2,-0.5,64,17,0.2656,0.173,0.3848,0.2812,0.9844,5.05,0,0,1.0,0.2535
randctrl,rand_ctrl_2,0.0,64,17,0.2656,0.173,0.3848,0.2812,0.9844,4.69,0,0,1.0,0.2535
randctrl,rand_ctrl_2,0.5,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,4.47,2,1,1.0,0.2535
randctrl,rand_ctrl_2,1.0,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,4.17,2,1,1.0,0.2535
randctrl,rand_ctrl_2,1.5,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,3.95,2,1,1.0,0.2535
randctrl,rand_ctrl_2,2.0,64,18,0.2812,0.1859,0.4013,0.2969,0.9844,3.98,2,1,1.0,0.2535
