stmt_index,stem,label,g_old
1022,The city of Hefei is in,1,-51.8528
562,The city of Ebute Ikorodu is in,1,-56.779
1388,The city of Karbala is in,1,-52.8065
796,The city of Zhangjiagang is in,1,-48.2443
890,The city of Sanya is in,1,-53.2398
154,The city of Ahvaz is in,1,-51.1208
668,The city of Kermanshah is in,1,-49.448
700,The city of Comilla is in,1,-53.3975
284,The city of Eskisehir is in,1,-51.7009
1322,The city of Duque de Caxias is in,1,-53.9439
840,The city of Detroit is in the United,1,-83.5394
1108,The city of Izhevsk is in,1,-52.3957
1154,The city of Victoria de Durango is in,1,-54.8024
96,The city of Boumerdes is in,0,-55.634
490,The city of Albuquerque is in the United,1,-79.7942
214,The city of Maturin is in,0,-60.7977
28,The city of Panshan is in,1,-51.4282
172,The city of Tianjin is in,1,-52.9592
12,The city of Abidjan is in Côte,0,-51.9944
1372,The city of Durban is in South,0,-61.7684
496,The city of Kisangani is in the Democratic Republic of the,1,-70.2371
578,The city of Kunming is in,1,-51.5279
1410,The city of Fuxin is in,1,-53.3828
346,The city of Joao Pessoa is in,1,-51.3684
240,The city of Ciudad Nezahualcoyotl is in,1,-56.6043
1356,The city of Suqian is in,1,-51.3893
816,The city of Londrina is in,1,-52.7836
120,The city of Busan is in South,1,-63.5927
1150,The city of Tabriz is in,1,-45.0619
386,The city of Kano is in,1,-54.1538
448,The city of Can Tho is in,1,-47.3209
1184,The city of Leon de los Aldama is in,1,-55.0208
552,The city of Cheonan is in South,1,-65.4159
656,The city of Shah Alam is in,1,-53.5475
1168,The city of Jamshedpur is in,1,-57.9266
1392,The city of Denpasar is in,1,-52.1487
1032,The city of Aktobe is in,1,-53.4192
460,The city of Qionghai is in,1,-52.9997
1162,The city of Rajkot is in,1,-54.7329
1140,The city of Zapopan is in,1,-51.9151
1428,The city of Ufa is in,1,-53.4257
972,The city of Kryvyy Rih is in,1,-52.6443
280,The city of Bogor is in,1,-47.4106
706,The city of Porto Alegre is in,1,-53.5103
248,The city of Subang Jaya is in,1,-56.2131
118,The city of Malacca is in,1,-50.0564
444,The city of Bandar Lampung is in,1,-49.1493
882,The city of Battagram is in,1,-55.8954
842,The city of Latakia is in,1,-51.4426
620,The city of Shizuoka is in,1,-46.2562
1272,The city of Kolhapur is in,1,-50.9675
358,The city of Luancheng is in,0,-49.3988
270,The city of Rizhao is in,1,-50.7957
434,The city of Siliguri is in,1,-54.5588
80,The city of Panzhihua is in,1,-52.327
128,The city of Incheon is in South,1,-64.1031
1024,The city of Handan is in,1,-53.9242
520,The city of Pimpri is in,1,-52.2518
892,The city of Foshan is in,1,-48.8177
800,The city of Jieyang is in,1,-47.0655
264,The city of Bareilly is in,1,-53.7403
542,The city of Tyumen is in,1,-49.7382
276,The city of Bilimora is in,1,-57.71
462,The city of Chuzhou is in,1,-52.3244
92,The city of Odesa is in,1,-52.471
474,The city of Ya'an is in,1,-49.9307
956,The city of Bhilai is in,1,-56.3415
928,The city of Urumqi is in,1,-56.6237
952,The city of Jaipur is in,1,-50.953
482,The city of Bengbu is in,1,-51.1283
1384,The city of Faridabad is in,1,-54.8115
318,The city of Jaboatao dos Guararapes is in,1,-49.0722
1044,The city of Jingmen is in,1,-50.9627
1312,The city of Daqing is in,1,-52.4323
