direction,scale,prompt,completion
jtw_stmt,-4.290397553090385,The city of Petaling Jaya is in,"the state of Selangor, Malaysia. It"
jtw_stmt,8.58079510618077,The city of Petaling Jaya is in,"the state of Selangor, Malaysia. It"
jtw_stmt,-8.58079510618077,The city of Petaling Jaya is in,"the state of Selangor, Malaysia. It"
jtw_stmt,0.0,The city of Riga is in,the process of developing a new urban development
jtw_stmt,6.177700571920674,The city of Riga is in,"the north-east part of Latvia,"
jtw_stmt,-6.177700571920674,The city of Riga is in,the process of developing a new urban development
jtw_stmt,12.355401143841348,The city of Riga is in,the north-east part of Latvia.
jtw_stmt,-12.355401143841348,The city of Riga is in,the process of developing a new urban development
jtw_stmt,0.0,The city of Kemerovo is in,"the south-west part of Russia,"
jtw_stmt,2.1653578770740225,The city of Kemerovo is in,"the south-west part of Russia,"
jtw_stmt,-2.1653578770740225,The city of Kemerovo is in,"the south-west part of Russia,"
jtw_stmt,4.330715754148045,The city of Kemerovo is in,"the south-west part of Russia,"
jtw_stmt,-4.330715754148045,The city of Kemerovo is in,"the south-west part of Russia,"
jtw_stmt,0.0,The city of Karol Bagh is in,the heart of Delhi. It has a
jtw_stmt,1.049102251774597,The city of Karol Bagh is in,the heart of Delhi. It has a
jtw_stmt,-1.049102251774597,The city of Karol Bagh is in,the heart of Delhi. It has a
jtw_stmt,2.098204503549194,The city of Karol Bagh is in,the heart of Delhi. It has a
jtw_stmt,-2.098204503549194,The city of Karol Bagh is in,the heart of Delhi. It has a
jtw_stmt,0.0,The city of Bhayandar is in,"the Thane district, which has been a"
jtw_stmt,1.4180710238460594,The city of Bhayandar is in,"the Thane district, which has a population"
jtw_stmt,-1.4180710238460594,The city of Bhayandar is in,"the Thane district, which has been a"
jtw_stmt,2.836142047692119,The city of Bhayandar is in,"the Thane district, which has a population"
jtw_stmt,-2.836142047692119,The city of Bhayandar is in,"the Thane district, which has been a"
jtw_stmt,0.0,The city of Belo Horizonte is in,"the state of Minas Gerais, Brazil."
jtw_stmt,2.3400714777075238,The city of Belo Horizonte is in,"the state of Minas Gerais, Brazil."
jtw_stmt,-2.3400714777075238,The city of Belo Horizonte is in,"the state of Minas Gerais, Brazil."
jtw_stmt,4.6801429554150475,The city of Belo Horizonte is in,"the state of Minas Gerais, Brazil."
jtw_stmt,-4.6801429554150475,The city of Belo Horizonte is in,"the state of Minas Gerais, Brazil."
jtw_stmt,0.0,The city of San Pedro Sula is in,the north-west part of Honduras.
jtw_stmt,5.087419861591683,The city of San Pedro Sula is in,the north-west part of Honduras.
jtw_stmt,-5.087419861591683,The city of San Pedro Sula is in,the north-west part of Honduras.
jtw_stmt,10.174839723183366,The city of San Pedro Sula is in,the north-west part of Honduras.
jtw_stmt,-10.174839723183366,The city of San Pedro Sula is in,the northern part of Honduras. It has
jtw_stmt,0.0,The city of Maiduguri is in,the northeast part of Nigeria. It has
jtw_stmt,2.2391173264680218,The city of Maiduguri is in,the northeast part of Nigeria. It has
jtw_stmt,-2.2391173264680218,The city of Maiduguri is in,the northeast part of Nigeria. It has
jtw_stmt,4.4782346529360435,The city of Maiduguri is in,the northeast part of Nigeria. It has
jtw_stmt,-4.4782346529360435,The city of Maiduguri is in,the northeast part of Nigeria. It has
jtw_stmt,0.0,The city of Bahcelievler is in,"the province of Gaziantep, Turkey"
jtw_stmt,3.6390743379122057,The city of Bahcelievler is in,"the province of Gaziantep, Turkey"
jtw_stmt,-3.6390743379122057,The city of Bahcelievler is in,"the province of Gaziantep, Turkey"
jtw_stmt,7.278148675824411,The city of Bahcelievler is in,"the province of Gaziantep, Turkey"
jtw_stmt,-7.278148675824411,The city of Bahcelievler is in,"the province of Gaziantep, Turkey"
jtw_stmt,0.0,The city of Perm is in,"the north-west part of Russia,"
jtw_stmt,3.7911212336329654,The city of Perm is in,"the north-west part of Russia,"
jtw_stmt,-3.7911212336329654,The city of Perm is in,"the north-west part of Russia,"
jtw_stmt,7.582242467265931,The city of Perm is in,"the center of Russia, 10"
jtw_stmt,-7.582242467265931,The city of Perm is in,"the north-west part of Russia,"
jtw_stmt,0.0,The city of Nanded is in,the state of Maharashtra. It has a
jtw_stmt,3.6832711688148403,The city of Nanded is in,the state of Maharashtra. It has a
jtw_stmt,-3.6832711688148403,The city of Nanded is in,"the state of Maharashtra, India. It"
jtw_stmt,7.366542337629681,The city of Nanded is in,the state of Maharashtra. It has a
jtw_stmt,-7.366542337629681,The city of Nanded is in,"the state of Maharashtra, India. It"
jtw_stmt,0.0,The city of Kota Kinabalu is in,"the state of Sabah, Malaysia. It"
jtw_stmt,5.49649544138047,The city of Kota Kinabalu is in,"the state of Sabah, Malaysia. It"
jtw_stmt,-5.49649544138047,The city of Kota Kinabalu is in,"the state of Sabah, Malaysia. It"
jtw_stmt,10.99299088276094,The city of Kota Kinabalu is in,"the state of Sabah, Malaysia. It"
jtw_stmt,-10.99299088276094,The city of Kota Kinabalu is in,"the state of Sabah, Malaysia. It"
jtw_stmt,0.0,The city of E'zhou is in,"the south-central part of China,"
jtw_stmt,1.0511608587696353,The city of E'zhou is in,"the south-central part of China,"
jtw_stmt,-1.0511608587696353,The city of E'zhou is in,"the south-central part of China,"
jtw_stmt,2.1023217175392706,The city of E'zhou is in,"the south-central part of China,"
jtw_stmt,-2.1023217175392706,The city of E'zhou is in,"the south-central part of China,"
jtw_stmt,0.0,The city of Shubra al Khaymah is in,"the heart of Cairo, Egypt. It"
jtw_stmt,4.131260990369284,The city of Shubra al Khaymah is in,"the heart of Cairo, Egypt. It"
jtw_stmt,-4.131260990369284,The city of Shubra al Khaymah is in,"the heart of Cairo, Egypt. It"
jtw_stmt,8.262521980738567,The city of Shubra al Khaymah is in,"the heart of Cairo, Egypt. It"
jtw_stmt,-8.262521980738567,The city of Shubra al Khaymah is in,"the north-eastern part of Cairo,"
jtw_stmt,0.0,The city of Tianshui is in,"the northwest part of Gansu Province,"
jtw_stmt,1.3841827058180909,The city of Tianshui is in,"the northwest part of Gansu Province,"
jtw_stmt,-1.3841827058180909,The city of Tianshui is in,"the northwest part of Gansu Province,"
jtw_stmt,2.7683654116361818,The city of Tianshui is in,"the northwest part of Gansu Province,"
jtw_stmt,-2.7683654116361818,The city of Tianshui is in,"the northwest part of Gansu Province,"
jtw_stmt,0.0,The city of Dortmund is in,the north-west part of Germany.
jtw_stmt,3.4771448576114974,The city of Dortmund is in,the north-west part of Germany.
jtw_stmt,-3.4771448576114974,The city of Dortmund is in,"the north-west part of Germany,"
jtw_stmt,6.954289715222995,The city of Dortmund is in,the state of North Rhine-Westph
jtw_stmt,-6.954289715222995,The city of Dortmund is in,"the north-west part of Germany,"
jtw_stmt,0.0,The city of Thuan An is in,"the province of Binh Duong,"
jtw_stmt,3.058701134606392,The city of Thuan An is in,"the province of Binh Duong,"
jtw_stmt,-3.058701134606392,The city of Thuan An is in,"the province of Binh Duong,"
jtw_stmt,6.117402269212784,The city of Thuan An is in,"the province of Binh Duong,"
jtw_stmt,-6.117402269212784,The city of Thuan An is in,"the province of Binh Duong,"
jtw_stmt,0.0,The city of Vijayawada is in,the process of developing a new bus stand
jtw_stmt,3.215474801928846,The city of Vijayawada is in,the process of developing a new bus stand
jtw_stmt,-3.215474801928846,The city of Vijayawada is in,the process of developing a new bus stand
jtw_stmt,6.430949603857692,The city of Vijayawada is in,the process of developing a new bus stand
jtw_stmt,-6.430949603857692,The city of Vijayawada is in,the process of developing a new bus stand
jtw_stmt,0.0,The city of Ar Raqqah is in,"the north-east corner of Syria,"
jtw_stmt,1.7553734292249041,The city of Ar Raqqah is in,"the north-east corner of Syria,"
jtw_stmt,-1.7553734292249041,The city of Ar Raqqah is in,"the north-east corner of Syria,"
jtw_stmt,3.5107468584498083,The city of Ar Raqqah is in,"the north-east corner of Syria,"
jtw_stmt,-3.5107468584498083,The city of Ar Raqqah is in,the process of being liberated from ISIS.
jtw_stmt,0.0,The city of Rio de Janeiro is in,the midst of a crisis. The country
jtw_stmt,2.375840946862387,The city of Rio de Janeiro is in,the midst of a crisis. The country
jtw_stmt,-2.375840946862387,The city of Rio de Janeiro is in,the midst of a crisis. The country
jtw_stmt,4.751681893724774,The city of Rio de Janeiro is in,the midst of a crisis. The country
jtw_stmt,-4.751681893724774,The city of Rio de Janeiro is in,the midst of a crisis. The country
jtw_stmt,0.0,The city of Jambi City is in,"the province of Jambi, Indonesia. It"
jtw_stmt,6.263428839771532,The city of Jambi City is in,"the province of Jambi, Indonesia. It"
jtw_stmt,-6.263428839771532,The city of Jambi City is in,"the province of Jambi, Indonesia. It"
jtw_stmt,12.526857679543063,The city of Jambi City is in,"the province of Sumatra, Indonesia. It"
jtw_stmt,-12.526857679543063,The city of Jambi City is in,"the province of Jambi, Indonesia. The"
jtw_stmt,0.0,The city of Rostov-na-Donu is in,"the south east corner of Russia, on"
jtw_stmt,4.66949279483518,The city of Rostov-na-Donu is in,the south east part of Russia. It
jtw_stmt,-4.66949279483518,The city of Rostov-na-Donu is in,"the south, on a river. The"
jtw_stmt,9.33898558967036,The city of Rostov-na-Donu is in,the south east part of Russia. It
jtw_stmt,-9.33898558967036,The city of Rostov-na-Donu is in,"the south, on a river. The"
jtw_stmt,0.0,The city of Barnaul is in,"the south-east part of Russia,"
jtw_stmt,2.2876962541206143,The city of Barnaul is in,"the south-east part of Russia,"
jtw_stmt,-2.2876962541206143,The city of Barnaul is in,"the south-east part of Russia,"
jtw_stmt,4.575392508241229,The city of Barnaul is in,"the south-east part of Russia,"
jtw_stmt,-4.575392508241229,The city of Barnaul is in,"the south-east part of Russia,"
jtw_stmt,0.0,The city of Ilorin is in,"the Kwara State, Nigeria. It"
jtw_stmt,3.041516127033807,The city of Ilorin is in,"the Kwara State, Nigeria. It"
jtw_stmt,-3.041516127033807,The city of Ilorin is in,"the Kwara State, Nigeria. It"
jtw_stmt,6.083032254067614,The city of Ilorin is in,"the Kwara State, Nigeria. It"
jtw_stmt,-6.083032254067614,The city of Ilorin is in,"the Kwara State, Nigeria. It"
jtw_stmt,0.0,The city of Huainan is in,"the east part of Anhui Province,"
jtw_stmt,2.059428043964374,The city of Huainan is in,the east-central part of Anhui
jtw_stmt,-2.059428043964374,The city of Huainan is in,"the east part of Anhui Province,"
jtw_stmt,4.118856087928748,The city of Huainan is in,the east-central part of Anhui
jtw_stmt,-4.118856087928748,The city of Huainan is in,"the east part of Anhui Province,"
jtw_stmt,0.0,The city of Porto Velho is in,"the state of Rondônia, Brazil."
jtw_stmt,3.0339766307746823,The city of Porto Velho is in,"the state of Rondônia, Brazil."
jtw_stmt,-3.0339766307746823,The city of Porto Velho is in,"the state of Rondônia, Brazil."
jtw_stmt,6.0679532615493645,The city of Porto Velho is in,"the state of Rondônia, Brazil."
jtw_stmt,-6.0679532615493645,The city of Porto Velho is in,"the state of Rondônia, Brazil."
jtw_stmt,0.0,The city of Nairobi is in,the process of developing a new master plan
jtw_stmt,3.2344141145727647,The city of Nairobi is in,the process of developing a new master plan
jtw_stmt,-3.2344141145727647,The city of Nairobi is in,the process of developing a new master plan
jtw_stmt,6.4688282291455295,The city of Nairobi is in,the process of developing a new master plan
jtw_stmt,-6.4688282291455295,The city of Nairobi is in,the process of developing a new master plan
jtw_stmt,0.0,The city of Ordos is in,the north-west part of Inner Mongolia
jtw_stmt,0.2880712385051269,The city of Ordos is in,the north-west part of Inner Mongolia
jtw_stmt,-0.2880712385051269,The city of Ordos is in,the north-west part of Inner Mongolia
jtw_stmt,0.5761424770102538,The city of Ordos is in,the north-west part of Inner Mongolia
jtw_stmt,-0.5761424770102538,The city of Ordos is in,the north-west part of Inner Mongolia
jtw_stmt,0.0,The city of Naberezhnyye Chelny is in,"the Nizhnekamsk district,"
jtw_stmt,3.6715905926564862,The city of Naberezhnyye Chelny is in,"the Nizhnekamsk district,"
jtw_stmt,-3.6715905926564862,The city of Naberezhnyye Chelny is in,"the Nizhnekamsk district,"
jtw_stmt,7.3431811853129725,The city of Naberezhnyye Chelny is in,"the Tatarstan Republic, Russia. It"
jtw_stmt,-7.3431811853129725,The city of Naberezhnyye Chelny is in,"the Nizhnekamsk district,"
jtw_stmt,0.0,The city of Krasnodar is in,"the south-west corner of Russia,"
jtw_stmt,3.4811827880235993,The city of Krasnodar is in,"the south-west corner of Russia,"
jtw_stmt,-3.4811827880235993,The city of Krasnodar is in,"the south-west corner of Russia,"
jtw_stmt,6.9623655760471985,The city of Krasnodar is in,"the south-west corner of Russia,"
jtw_stmt,-6.9623655760471985,The city of Krasnodar is in,"the south-west corner of Russia,"
jtw_stmt,0.0,The city of Culiacan is in,"the state of Sinaloa, Mexico. It"
jtw_stmt,0.48193537699238176,The city of Culiacan is in,"the state of Sinaloa, Mexico. It"
jtw_stmt,-0.48193537699238176,The city of Culiacan is in,"the state of Sinaloa, Mexico. It"
jtw_stmt,0.9638707539847635,The city of Culiacan is in,"the state of Sinaloa, Mexico. It"
jtw_stmt,-0.9638707539847635,The city of Culiacan is in,"the state of Sinaloa, Mexico. It"
jtw_stmt,0.0,The city of Enugu is in,the south-eastern part of Nigeria.
jtw_stmt,3.006474663505296,The city of Enugu is in,the south-eastern part of Nigeria.
jtw_stmt,-3.006474663505296,The city of Enugu is in,the south-eastern part of Nigeria.
jtw_stmt,6.012949327010592,The city of Enugu is in,the south-eastern part of Nigeria.
jtw_stmt,-6.012949327010592,The city of Enugu is in,the south-eastern part of Nigeria.
jtw_stmt,0.0,The city of Abu Dhabi is in the United Arab,Emirates. It has a population of
jtw_stmt,9.099894516644587,The city of Abu Dhabi is in the United Arab,Emirates. It has a population of
jtw_stmt,-9.099894516644587,The city of Abu Dhabi is in the United Arab,Emirates. It has a population of
jtw_stmt,18.199789033289175,The city of Abu Dhabi is in the United Arab,Emirates. It has a population that exceeds
jtw_stmt,-18.199789033289175,The city of Abu Dhabi is in the United Arab,"Emirates.  Abu Dhabi, which means"
jtw_stmt,0.0,The city of Marrakesh is in,"the south-west corner of Morocco,"
jtw_stmt,4.8487232405990675,The city of Marrakesh is in,"the south-west corner of Morocco,"
jtw_stmt,-4.8487232405990675,The city of Marrakesh is in,"the south-west corner of Morocco,"
jtw_stmt,9.697446481198135,The city of Marrakesh is in,the south-east corner of Morocco.
jtw_stmt,-9.697446481198135,The city of Marrakesh is in,"the south-west corner of Morocco,"
jtw_stmt,0.0,The city of Curitiba is in,"the state of Paraná, Brazil. It"
jtw_stmt,3.054930527179919,The city of Curitiba is in,"the state of Paraná, Brazil. It"
jtw_stmt,-3.054930527179919,The city of Curitiba is in,"the state of Paraná, Brazil. It"
jtw_stmt,6.109861054359838,The city of Curitiba is in,"the state of Paraná, Brazil. It"
jtw_stmt,-6.109861054359838,The city of Curitiba is in,"the state of Paraná, Brazil. It"
jtw_stmt,0.0,The city of Sao Jose dos Campos is in,"the state of São Paulo, Brazil."
jtw_stmt,3.5457880488040083,The city of Sao Jose dos Campos is in,"the state of São Paulo, Brazil."
jtw_stmt,-3.5457880488040083,The city of Sao Jose dos Campos is in,"the state of São Paulo, Brazil."
jtw_stmt,7.091576097608017,The city of Sao Jose dos Campos is in,"the state of São Paulo, Brazil."
jtw_stmt,-7.091576097608017,The city of Sao Jose dos Campos is in,"the state of São Paulo, Brazil."
jtw_stmt,0.0,The city of Zhenjiang is in,the south-central part of Jiangsu Province
jtw_stmt,2.523388745783785,The city of Zhenjiang is in,the south-central part of Jiangsu Province
jtw_stmt,-2.523388745783785,The city of Zhenjiang is in,the south-central part of Jiangsu Province
jtw_stmt,5.04677749156757,The city of Zhenjiang is in,the south-central part of Jiangsu Province
jtw_stmt,-5.04677749156757,The city of Zhenjiang is in,the south-central part of Jiangsu Province
jtw_stmt,0.0,The city of Hubli is in,the state of Karnataka. It has a
jtw_stmt,2.77945048873307,The city of Hubli is in,the state of Karnataka. It has a
jtw_stmt,-2.77945048873307,The city of Hubli is in,the state of Karnataka. It has a
jtw_stmt,5.55890097746614,The city of Hubli is in,the state of Karnataka. It has a
jtw_stmt,-5.55890097746614,The city of Hubli is in,the state of Karnataka. It has a
jtw_stmt,0.0,The city of Lanzhou is in,"the northwest part of China, and it"
jtw_stmt,2.313041958572388,The city of Lanzhou is in,"the northwest part of China, and it"
jtw_stmt,-2.313041958572388,The city of Lanzhou is in,"the northwest part of China, and it"
jtw_stmt,4.626083917144776,The city of Lanzhou is in,the northwest part of China. It has
jtw_stmt,-4.626083917144776,The city of Lanzhou is in,"the northwest part of China, and it"
jtw_stmt,0.0,The city of Bengaluru is in,the news for all wrong reasons. The
jtw_stmt,2.661815178055871,The city of Bengaluru is in,the news for all wrong reasons. The
jtw_stmt,-2.661815178055871,The city of Bengaluru is in,the news for all wrong reasons. The
jtw_stmt,5.323630356111742,The city of Bengaluru is in,the news for all wrong reasons. The
jtw_stmt,-5.323630356111742,The city of Bengaluru is in,the news for all wrong reasons. The
jtw_stmt,0.0,The city of Suez is in,"the heart of Egypt, and it’"
jtw_stmt,1.4859146665524867,The city of Suez is in,"the heart of Egypt, and it’"
jtw_stmt,-1.4859146665524867,The city of Suez is in,"the heart of Egypt, and it’"
jtw_stmt,2.9718293331049734,The city of Suez is in,"the heart of Egypt, and it’"
jtw_stmt,-2.9718293331049734,The city of Suez is in,"the heart of Egypt, and it’"
jtw_stmt,0.0,The city of Port-au-Prince is in,the midst of a massive cholera outbreak.
jtw_stmt,0.3891278095724461,The city of Port-au-Prince is in,the midst of a massive cholera outbreak.
jtw_stmt,-0.3891278095724461,The city of Port-au-Prince is in,the midst of a massive cholera outbreak.
jtw_stmt,0.7782556191448922,The city of Port-au-Prince is in,the midst of a massive cholera outbreak.
jtw_stmt,-0.7782556191448922,The city of Port-au-Prince is in,"the midst of a massive cholera outbreak,"
jtw_stmt,0.0,The city of Kathmandu is in,the middle of a massive construction boom.
jtw_stmt,5.494073621454442,The city of Kathmandu is in,the middle of a massive construction boom.
jtw_stmt,-5.494073621454442,The city of Kathmandu is in,the middle of a massive construction boom.
jtw_stmt,10.988147242908884,The city of Kathmandu is in,the middle of a massive construction boom.
jtw_stmt,-10.988147242908884,The city of Kathmandu is in,the process of developing a new master plan
jtw_stmt,0.0,The city of Guang'an is in,"the southwest part of Sichuan Province, China"
jtw_stmt,1.3654162869275366,The city of Guang'an is in,"the southwest part of Sichuan Province, China"
jtw_stmt,-1.3654162869275366,The city of Guang'an is in,"the southwest part of Sichuan Province, China"
jtw_stmt,2.730832573855073,The city of Guang'an is in,"the southwest part of Sichuan Province, China"
